"direct_nombre"
"Buta Singh"
"Jami"
"Ali Samadi Ahadi"
"Anurag Singh"
"Ashok Nanda"
"Navaniat Singh"
"Shweta Basu Prasad"
"D Ho"
"Jitender Pawar"
"Erik Canuel"
"Param Gill"
"Jack Zagha Kababie"
"Richard Mears"
"Moto Sakakibara"
"Craig Monahan"
"Gillian Armstrong"
"Jon Reiner"
"Brad Rothschild"
"John Duigan"
"Mu Chu"
"Henry Sarwer-Foner"
"Will Lovelace"
"Dylan Southern"
"Jim Monaco"
"Sherif Ismail"
"Dava Whisenant"
"Yen Cheng-kuo"
"James Wan"
"Karim El Sobky"
"Mohamed Samy"
"Sameh Abdulaziz"
"Husam El-Gohari"
"Liz Plonka"
"Sam Patton"
"Rupert Jones"
"Sonia Kennebeck"
"David Pablos"
"Maya Gallus"
"Cavi Borges"
"Luciano Vidigal"
"Dani Levy"
"Alma Har'el"
"Alex Parkinson"
"Richard da Costa"
"Kevin Peeples"
"Frant Gwo"
"Harrison Smith"
"Sonny Mallhi"
"Jeff Garlin"
"Michael Barnett"
"Andrew Nackman"
"Ole Bornedal"
"Andrew Niccol"
"Isabelle Nanty"
"Rob Epstein"
"Jeffrey Friedman"
"Antonio Morabito"
"Rene Bueno"
"John Woo"
"Patricia Ferreira"
"Nahnatchka Khan"
"Sachin Yardi"
"Partho Mitra"
"Santram Varma"
"Paul Spurrier"
"Han Han"
"Pawan Kripalani"
"Bhushan Patel"
"Raj Nidimoru"
"Krishna D.K."
"Alexandra Dean"
"Cosima Spender"
"Simon Curtis"
"Jang Jae-hyun"
"Charlie McDowell"
"Liam Lynch"
"Hao Wu"
"Felipe Cano"
"Gabriela Tagliavini"
"Joe Berlinger"
"Ismail Farouk"
"Lee Jeong-beom"
"William Bindley"
"Maya Zinshtein"
"Jill Bauer"
"Ronna Gradus"
"Justin McConnell"
"Joe Johnston"
"Bryce Wagoner"
"Steven Brill"
"Kim Sung-hoon"
"Mary Mazzio"
"Joe Piscatella"
"Rahul Dholakia"
"Mark Craig"
"Ketan Mehta"
"Alex Richanbach"
"Christopher Smith"
"Nadia Hallgren"
"Sudabeh Mortezai"
"Richard Shepard"
"Matthew Cooke"
"Mike Diva"
"Jean-Patrick Benes"
"Trisha Ziff"
"Vasan Bala"
"Tig Notaro"
"John Bridcut"
"Mike Fleiss"
"Barry Jenkins"
"Linda Mendoza"
"Aanand Rai"
"Sharon Grimberg"
"Akram Farouk"
"Christel Gibson"
"Andrew Stanton"
"Manav Shah"
"Jimmy Henderson"
"Jessica Yu"
"Kim Nguyen"
"Max Martini"
"Ian Nelms"
"Eshom Nelms"
"Hiroyuki Seshita"
"Lygia Barbosa da Silva"
"Eliane Brum"
"Ken Kushner"
"Yolanda Ramke"
"Ben Howling"
"Kagiso Lediga"
"Diego Enrique Osorno"
"Arthur Muhammad"
"Pedring A. Lopez"
"Sam Cullman"
"Francesco Imperato"
"Stefon Bristol"
"Brit McAdams"
"Steve Loter"
"Kate Melville"
"Aditya Vikram Sengupta"
"David Dhawan"
"Neil Burger"
"Apoorva Lakhia"
"Mandie Fletcher"
"Michael Dowse"
"Vipul Amrutlal Shah"
"Rajkumar Santoshi"
"Mercedes Cordova"
"Antonio Campos"
"Derek Cianfrance"
"Meenu Gaur"
"Farjad Nabi"
"Matthew Hope"
"Asim Abbasi"
"Saurabh Kabra"
"Aijaz Khan"
"Anil V. Kumar"
"Sangeeth Sivan"
"Umesh Ghadge"
"Midhun Manuel Thomas"
"Umer Adil"
"Hayao Miyazaki"
"Robert Kenner"
"Kundan Shah"
"So Yong Kim"
"Alina Teodorescu"
"Filip Renc"
"Femi Oyeniran"
"Kalvadour Peterson"
"David Morris"
"Jacqui Morris"
"Abby Epstein"
"Hepi Mita"
"Anthony Abrams"
"Adam Larson Broder"
"Dylan Bank"
"Daniel DiMauro"
"Morgan Pehme"
"Sean Foley"
"Che Sandoval"
"Jean-Bernard Marlin"
"Yee Tung-Shing"
"Trey Borzillieri"
"Barbara Schroeder"
"Rajiv Chilaka"
"Sidheswar Shukla"
"Asit Mohapatra"
"Shyamal Chaulia"
"Amy Poehler"
"Sachin Kundalkar"
"Puri Jagannadh"
"Krish"
"Shoojit Sircar"
"Ribhu Dasgupta"
"Geoff Anderson"
"Federico Veiroj"
"Mark Zwonitzer"
"Bo Welch"
"Stacia Crawford"
"Michael Epstein"
"Sudipto Roy"
"Rachel Lears"
"Emmanuel Amara"
"Syamsul Yusof"
"Nicholas Winter"
"Bong Joon Ho"
"Mangesh Kanthale"
"Kevin Munroe"
"Jim Henson"
"Gary Young"
"Nicanor Loreti"
"Simon Napier-Bell"
"Devashish Makhija"
"Amal Neerad"
"Fluvio Iannuci"
"Roly Santos"
"Julius R. Nasso"
"Lucas Figueroa"
"Francis Lee"
"Shanker Raman"
"Rakshith Thirthahalli"
"C. Fitz"
"Alex Timbers"
"Damien Piscarel"
"Florent Bodin"
"Saandeep Patel"
"Arun Vaidyanathan"
"Pradip Kurbah"
"Guillermo Garcia"
"David Cantolla"
"Makarand Mane"
"Pierfrancesco Diliberto"
"Sean Menard"
